proximityRef;timestamp;rssi;accuracy;proximity
25.0;17:57:49;-74;1.81194898272183;Far
25.0;17:57:50;-75;1.90554070974133;Far
25.0;17:57:51;-77;2.02202196527797;Far
25.0;17:57:52;-68;1.95119630517789;Far
25.0;17:57:53;-75;2.03989501476719;Far
25.0;17:57:54;-66;1.89811826398202;Far
25.0;17:57:55;-67;1.81825133590345;Far
25.0;17:57:56;-74;1.89344965844747;Far
25.0;17:57:57;-74;1.96699562356504;Far
25.0;17:57:58;-76;2.06620966588617;Far
25.0;17:57:59;-75;2.15012320096162;Far
25.0;17:58:00;-74;2.21449408564248;Far
25.0;17:58:01;-76;2.30947558280288;Far
25.0;17:58:02;-76;2.40220094689092;Far
25.0;17:58:03;-77;2.50830548079595;Far
25.0;17:58:04;-65;2.21888362830168;Far
25.0;17:58:05;-61;1.7997159009523;Far
25.0;17:58:06;-61;1.53128286495157;Far
25.0;17:58:07;-61;1.3433655626458;Far
25.0;17:58:08;-61;1.20387042554127;Near
25.0;17:58:09;-62;1.12013145975816;Near
25.0;17:58:10;-63;1.07147598412266;Near
25.0;17:58:11;-76;1.16193172315978;Near
25.0;17:58:12;-75;1.25321109225504;Near
25.0;17:58:13;-76;1.35496290678701;Far
25.0;17:58:14;-74;1.44422559819539;Far
25.0;17:58:15;-72;1.51077547991216;Far
25.0;17:58:16;-74;1.59953247664317;Far
25.0;17:58:17;-76;1.70858577437798;Far
25.0;17:58:18;-76;1.81783983403045;Far
25.0;17:58:19;-76;1.92632354579624;Far
30.0;17:58:42;-78;3.92824740461044;Far
30.0;17:58:43;-77;4.05792433184859;Far
30.0;17:58:44;-74;3.8397815553334;Far
30.0;17:58:45;-74;3.6838560082059;Far
30.0;17:58:46;-68;2.83967302745553;Far
30.0;17:58:47;-71;2.67799588751618;Far
30.0;17:58:48;-71;2.56804806528264;Far
30.0;17:58:49;-65;2.05145269972041;Far
30.0;17:58:50;-64;1.71588250716942;Far
30.0;17:58:51;-64;1.51982593647066;Far
30.0;17:58:52;-70;1.5595041717216;Far
30.0;17:58:53;-77;1.6975169443665;Far
30.0;17:58:54;-77;1.83392565531029;Far
30.0;17:58:55;-75;1.9408309898543;Far
30.0;17:58:56;-74;2.02563727582342;Far
30.0;17:58:57;-64;1.78251318025057;Far
30.0;17:58:58;-68;1.74406657080843;Far
30.0;17:58:59;-67;1.68423240688139;Far
30.0;17:59:00;-76;1.78999121228021;Far
30.0;17:59:01;-76;1.89581181885462;Far
30.0;17:59:02;-76;2.00079157961917;Far
30.0;17:59:03;-77;2.11691202999003;Far
30.0;17:59:04;-77;2.23190461377084;Far
30.0;17:59:05;-77;2.34521710854562;Far
30.0;17:59:06;-77;2.45615766569236;Far
30.0;17:59:07;-76;2.54719430305423;Far
30.0;17:59:08;-75;2.61420993028686;Far
30.0;17:59:09;-64;2.2333589556174;Far
30.0;17:59:10;-64;1.97197353416767;Far
30.0;17:59:11;-77;2.07566221085809;Far
30.0;17:59:12;-77;2.18052051893797;Far
30.0;17:59:13;-73;2.22223009140728;Far
30.0;17:59:14;-80;2.3596681746509;Far
30.0;17:59:15;-80;2.49992598373042;Far
30.0;17:59:16;-78;2.61687212856041;Far
30.0;17:59:17;-78;2.73245206403299;Far
30.0;17:59:18;-77;2.82885295570511;Far
30.0;17:59:19;-78;2.94034336750102;Far
30.0;17:59:20;-77;3.02989854785333;Far
30.0;17:59:21;-77;3.11597513372239;Far
30.0;17:59:22;-76;3.17501298580938;Far
30.0;17:59:23;-70;3.01732970460415;Far
30.0;17:59:24;-71;2.9271327382889;Far
30.0;17:59:25;-74;2.94387432142547;Far
30.0;17:59:26;-79;3.06258138537605;Far
30.0;17:59:27;-79;3.18035375764128;Far
30.0;17:59:28;-78;3.2781255795539;Far
30.0;17:59:29;-74;3.26920979981333;Far
30.0;17:59:30;-65;2.79962665075145;Far
30.0;17:59:31;-65;2.46977838614887;Far
30.0;17:59:32;-65;2.22397996642134;Far
30.0;17:59:33;-65;2.03313783650174;Far
30.0;17:59:34;-65;1.88053914595295;Near
30.0;17:59:35;-65;1.75564288857032;Near
30.0;17:59:36;-64;1.62135141439056;Near
30.0;17:59:37;-63;1.4820109684562;Near
30.0;17:59:38;-64;1.39690075590062;Near
30.0;17:59:39;-66;1.36801496048665;Near
30.0;17:59:40;-66;1.34202724760707;Near
30.0;17:59:41;-66;1.31877079008577;Near
